"","Active Cases","Deaths","Recoveries","Inactives removed"
"19/01","695,410","2,841","311,158","506,976"
"20/01","666,672","2,901","311,158","579,830"
"21/01","644,910","2,989","311,270","642,133"
"22/01","610,780","3,053","311,270","707,903"
"23/01","563,333","3,111","311,270","809,815"
"24/01","551,444","3,169","311,270","827,092"
"25/01","512,965","3,245","311,270","891,683"
"26/01","447,129","3,330","311,270","990,994"
"27/01","458,622","3,402","311,270","1,057,351"
"28/01","386,482","3,536","311,270","1,164,949"
"29/01","339,107","3,631","311,270","1,242,655"
"30/01","328,828","3,716","311,270","1,530,752"
"31/01","317,300","3,758","311,270","1,565,752"
"01/02","306,289","3,835","311,270","1,606,266"
"02/02","285,590","3,905","311,270","1,664,339"
"03/02","276,566","3,989","311,270","1,714,447"
"04/02","250,508","4,073","311,270","1,769,236"
"05/02","237,946","4,156","311,270","1,806,397"
"06/02","228,135","4,202","311,270","1,837,551"
"07/02","221,055","4,248","311,270","1,865,180"
"08/02","210,333","4,303","311,270","1,900,508"
"09/02","194,793","4,373","311,270","1,943,726"
"10/02","190,285","4,431","311,270","1,974,767"
"11/02","191,236","4,481","311,270","1,997,748"
"12/02","177,909","4,546","311,270","2,030,941"
"13/02","175,875","4,593","311,270","2,054,335"
"14/02","171,463","4,618","311,270","2,075,774"
"15/02","161,390","4,668","311,270","2,106,800"
"16/02","160,090","4,732","311,270","2,123,626"
"17/02","221,553","4,796","311,270","2,096,561"
"18/02","219,736","4,835","311,270","2,120,714"
"19/02","217,947","4,880","311,270","2,141,621"
"20/02","215,122","4,913","311,270","2,159,709"
"21/02","209,767","4,929","311,270","2,179,902"
"22/02","208,705","4,965","311,270","2,200,690"
"23/02","204,567","5,026","311,270","2,229,053"
"24/02","204,774","5,068","311,270","2,251,068"
"25/02","205,298","5,097","311,270","2,271,957"
"26/02","205,456","5,132","311,270","2,290,998"
"27/02","205,794","5,159","311,270","2,306,948"
"28/02","204,220","5,171","311,270","2,325,163"
"01/03","200,267","5,212","311,270","2,350,272"
"02/03","203,751","5,272","311,270","2,372,033"
"03/03","210,340","5,319","311,270","2,393,774"
"04/03","214,680","5,357","311,270","2,414,427"
"05/03","216,063","5,403","311,270","2,436,370"
"06/03","220,088","5,416","311,270","2,452,466"
"07/03","223,139","5,449","311,270","2,470,904"
"08/03","231,787","5,465","311,270","2,490,672"
"09/03","233,963","5,499","311,270","2,519,179"
"10/03","245,030","5,520","311,270","2,543,070"
"11/03","261,987","5,549","311,270","2,558,112"
"12/03","258,211","5,571","311,270","2,590,896"
"13/03","267,631","5,587","311,270","2,608,577"
"14/03","271,064","5,591","311,270","2,628,842"
"15/03","273,171","5,616","311,270","2,656,348"
"16/03","298,842","5,639","311,270","2,913,539"
"17/03","319,317","5,665","311,270","2,944,325"
"18/03","338,730","5,694","311,270","2,974,653"
"19/03","357,044","5,721","311,270","3,001,723"
"20/03","370,508","5,730","311,270","3,030,080"
"21/03","380,367","5,736","311,270","3,059,587"
"22/03","390,763","5,763","311,270","3,100,052"
"23/03","406,868","5,788","311,270","3,144,255"
"24/03","424,630","5,824","311,270","3,189,228"
"25/03","442,062","5,850","311,270","3,231,768"
"26/03","453,934","5,880","311,270","3,272,216"
"27/03","464,989","5,891","311,270","3,309,286"
"28/03","469,989","5,897","311,270","3,350,145"
