day,S,I,D,T1,T2,H,E,alpha,beta,gamma,delta1,delta2,epsi,sigma1,sigma2,tau1,tau2,lambda
30-Dec-2020,0.930196731402928,0.00973194449231481,0.0085016188721673,0.000463195353465622,4.4501832582113e-05,0.0501863410378292,0.00087566700871625,0.0644795336184356,0.00518388902784523,0.0302919009999345,0.0016672451590636,0.000120253706574339,0.000497254986113653,0.0289528140243976,0.0257194887260862,0.00799679300483376,0.00799842757048137,0.0346765906505748
31-Dec-2020,0.929572504752789,0.00972415206901868,0.00848657257342958,0.000460070630175934,4.42564625985283e-05,0.0508327300211645,0.000879713490827791,0.065651812479242,0.00522555399936323,0.0304714735400917,0.00166572551981194,0.000122003939161311,0.000497398781401487,0.0289591386462417,0.0257236002093201,0.00799670999387467,0.00799838327997554,0.0345345294559877
01-Jan-2021,0.928938006998891,0.00972644435416805,0.00847488036291551,0.000457023345902085,4.4030621465991e-05,0.0514758809480041,0.00088373336865737,0.0663541064099395,0.00525046069934039,0.0306016400155516,0.00166434827350053,0.000123640101118078,0.000497495358849517,0.0289637454635663,0.0257278500303958,0.00799662768332592,0.0079983397385221,0.0344380221915191
02-Jan-2021,0.928297139503621,0.00973444425347692,0.00846580424946882,0.000454057590821067,4.38230422514173e-05,0.0521170039295845,0.000887727430780838,0.0663804415496781,0.00525211192842724,0.0306807606506558,0.00166310726008169,0.000125144717616498,0.00049754919163944,0.0289667184973451,0.0257322581158282,0.0079965474584075,0.00799829784461162,0.0343883490655677
03-Jan-2021,0.927656027646671,0.00974189920934761,0.00845845054100955,0.000451175855407001,4.36322756775582e-05,0.0527571179898905,0.000891696482001599,0.0659496679121043,0.00523791856474935,0.0307083659378248,0.00166199669587084,0.000126504627779107,0.000497562290381369,0.0289681363614512,0.0257368392304833,0.00799647070534647,0.00799825849421096,0.0343857534378499
04-Jan-2021,0.92701908191444,0.0097446136384063,0.00845179447616506,0.000448378853567392,4.34567051709367e-05,0.0533970330838503,0.000895641328404443,0.065189297857161,0.00521181537202702,0.0306852307537807,0.00166101125151899,0.00012771151281699,0.000497535288223433,0.0289680712004711,0.0257416024397169,0.00799639852460223,0.00799822239554505,0.0344294007741039
05-Jan-2021,0.92638974386387,0.00973959575586376,0.00844475399160392,0.00044566545305508,4.32945737942621e-05,0.0540373836004174,0.000899562761400867,0.064233361241499,0.00517798634195309,0.0306133313817597,0.00166014608805558,0.000128762113915876,0.000497467070714692,0.0289665881892982,0.0257465509378794,0.00799633162952171,0.00799819000349442,0.0345174304498888
06-Jan-2021,0.925770336088796,0.00972512544427903,0.00843625078023397,0.000443032714109758,4.31440208811153e-05,0.054678649409825,0.00090346154188113,0.0634841616535408,0.00515075794130489,0.0304957298122982,0.00165939684793786,0.000129658157162308,0.000497354432880431,0.028963745614037,0.0257516822099351,0.00799627044611694,0.00799816156342682,0.0346470610985873
07-Jan-2021,0.925159415184308,0.00970323579876115,0.0084253069560425,0.000440476044199144,4.30031273562951e-05,0.0553212245038583,0.000907338385480922,0.0629639055541664,0.00513144706485296,0.0303364347710294,0.00165875962595641,0.000130406040870162,0.000497190822641022,0.0289595952208269,0.0257569884505814,0.00799621530420637,0.00799813722013536,0.0348147023158796
08-Jan-2021,0.924555205865172,0.00967614914428499,0.00841111830799009,0.00043798950890366,4.2869970994441e-05,0.0559654732524249,0.000911193950235707,0.0624287572586226,0.00511135344269334,0.0301402936462744,0.00165823095687517,0.000131016429211837,0.000496965328610206,0.0289541823915415,0.0257624570670408,0.0079961664954425,0.00799811704794727,0.0350160312309155
09-Jan-2021,0.923958128670983,0.00964381612261555,0.00839303193601455,0.000435566165572044,4.27426806458122e-05,0.0566116855967826,0.000915028827392949,0.0619406017495642,0.00509279919572195,0.0299129291945974,0.00165780783195715,0.000131503782080582,0.000496660532202157,0.0289475460010766,0.0257680712298823,0.00799612411246358,0.00799810097834221,0.0352460357560021
10-Jan-2021,0.92336801532728,0.00960675480559628,0.0083705298713212,0.000433198331059868,4.26194808351646e-05,0.0572600386489699,0.000918843534944194,0.0614601910639342,0.00507436477891676,0.0296606586142106,0.00165748771627424,0.000131885828699474,0.000496249108208773,0.0289397182851085,0.0257738104664952,0.00799608780780062,0.00799808868532922,0.0354990793587287
11-Jan-2021,0.922785037028717,0.00956511530015119,0.00834323940229749,0.00043087785112119,4.24987304681798e-05,0.0579105931737546,0.000922638513497963,0.060642720391096,0.00504274945725526,0.0293903845304547,0.00165726852894565,0.0001321829476737,0.000495688912910493,0.028930725152213,0.0257796513432509,0.00799605666792123,0.007998079520556,0.0357689933898963
12-Jan-2021,0.922212576123777,0.00951592167146726,0.00831088677545384,0.000428596338009765,4.23789512520253e-05,0.0585632260155852,0.000926414124462235,0.0592251281055585,0.00498658703746046,0.0291094637208313,0.0016571485719183,0.00013241739168215,0.000494916068753859,0.0289205870940963,0.0257855683121597,0.00799602927299698,0.0079980725395398,0.0360491935718791
13-Jan-2021,0.921656563040633,0.00945391113131226,0.00827322494460075,0.00042634528901743,4.22588365031908e-05,0.0592175261080796,0.000930170649861016,0.0572583051595695,0.0049052835165134,0.0288255414479729,0.00165712641873026,0.000132612309537312,0.000493833044656355,0.0289093205474721,0.0257915347834093,0.0079960038963021,0.00799806661922102,0.036332825204274
